"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3842,389.08,533.04,128.85,-4.1509e-18,2.3382e+05,1,0.1856,0.679,0.049046,1
1.3847,389,533.2,128.92,-3.9264e-18,2.336e+05,1,0.18663,0.68,0.04932,1
1.3853,388.92,533.36,128.98,-3.6438e-18,2.3338e+05,1,0.18767,0.681,0.049594,1
1.3859,388.84,533.53,129.04,-3.3613e-18,2.3316e+05,1,0.18871,0.682,0.049868,1
1.3865,388.76,533.69,129.1,-3.0787e-18,2.3294e+05,1,0.18975,0.683,0.050142,1
1.3871,388.68,533.86,129.15,-2.7961e-18,2.3273e+05,1,0.19078,0.684,0.050416,1
1.3877,388.6,534.02,129.21,-2.5136e-18,2.3251e+05,1,0.19182,0.685,0.05069,1
1.3882,388.52,534.18,129.27,-2.231e-18,2.3229e+05,1,0.19286,0.686,0.050964,1
1.3888,388.44,534.35,129.33,-1.9484e-18,2.3207e+05,1,0.19389,0.687,0.051238,1
1.3894,388.36,534.51,129.39,-1.6659e-18,2.3185e+05,1,0.19493,0.688,0.051512,1
1.39,388.28,534.67,129.45,-1.3833e-18,2.3163e+05,1,0.19597,0.689,0.051786,1
1.3906,388.2,534.84,129.51,-1.1007e-18,2.3141e+05,1,0.197,0.69,0.05206,1
1.3911,388.12,535,129.57,-8.1815e-19,2.3119e+05,1,0.19804,0.691,0.052334,1
1.3917,388.04,535.16,129.62,-5.3559e-19,2.3098e+05,1,0.19908,0.692,0.052608,1
1.3923,387.95,535.33,129.68,-2.53e-19,2.3076e+05,1,0.20011,0.693,0.052882,1
1.3929,387.87,535.49,129.74,2.9564e-20,2.3054e+05,1,0.20115,0.694,0.053156,1
1.3933,387.82,535.62,129.77,3.5286e-20,2.3037e+05,1,0.20219,0.695,0.05343,1
1.3938,387.76,535.75,129.79,3.2488e-20,2.302e+05,1,0.20322,0.696,0.053704,1
1.3942,387.7,535.88,129.82,2.9689e-20,2.3003e+05,1,0.20426,0.697,0.053978,1
1.3946,387.64,536.01,129.84,2.689e-20,2.2986e+05,1,0.2053,0.698,0.054252,1
1.3951,387.58,536.14,129.86,2.4091e-20,2.2969e+05,1,0.20633,0.699,0.054526,1
1.3955,387.53,536.26,129.89,2.1292e-20,2.2952e+05,1,0.20737,0.7,0.0548,1
1.3959,387.47,536.39,129.91,1.8494e-20,2.2935e+05,1,0.20841,0.701,0.055074,1
1.3964,387.41,536.52,129.94,1.5695e-20,2.2918e+05,1,0.20945,0.702,0.055348,1
1.3968,387.35,536.65,129.96,1.2897e-20,2.2901e+05,1,0.21048,0.703,0.055622,1
1.3972,387.29,536.78,129.99,1.0098e-20,2.2885e+05,1,0.21152,0.704,0.055896,1
1.3977,387.24,536.91,130.01,7.2998e-21,2.2868e+05,1,0.21256,0.705,0.05617,1
1.3981,387.18,537.04,130.03,4.5015e-21,2.2851e+05,1,0.21359,0.706,0.056444,1
1.3986,387.12,537.17,130.06,1.703e-21,2.2834e+05,1,0.21463,0.707,0.056718,1
1.399,387.06,537.3,130.08,-1.0953e-21,2.2817e+05,1,0.21567,0.708,0.056992,1
1.3994,387.01,537.42,130.11,-3.7274e-21,2.28e+05,1,0.2167,0.709,0.057266,1
1.3997,386.97,537.52,130.11,-2.816e-21,2.2788e+05,1,0.21774,0.71,0.05754,1
1.4,386.93,537.61,130.12,-1.9047e-21,2.2776e+05,1,0.21878,0.711,0.057814,1
1.4003,386.9,537.7,130.12,-9.9337e-22,2.2765e+05,1,0.21981,0.712,0.058088,1
1.4006,386.86,537.79,130.13,-8.2108e-23,2.2753e+05,1,0.22085,0.713,0.058362,1
1.4009,386.82,537.88,130.14,8.2913e-22,2.2741e+05,1,0.22189,0.714,0.058636,1
1.4012,386.79,537.97,130.14,1.7403e-21,2.2729e+05,1,0.22292,0.715,0.05891,1
1.4015,386.75,538.06,130.15,2.6516e-21,2.2717e+05,1,0.22396,0.716,0.059184,1
1.4018,386.71,538.15,130.15,3.5627e-21,2.2705e+05,1,0.225,0.717,0.059458,1
1.4021,386.68,538.24,130.16,4.4738e-21,2.2693e+05,1,0.22604,0.718,0.059732,1
1.4023,386.64,538.34,130.17,5.3849e-21,2.2681e+05,1,0.22707,0.719,0.060006,1
