"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2025,415.4,502.13,58.366,7.4712e-18,2.4658e+05,1,0.23739,0.723,0.081395,1
1.202,415.48,501.93,58.511,7.3522e-18,2.4679e+05,1,0.23845,0.724,0.08176,1
1.2015,415.57,501.73,58.655,7.2332e-18,2.47e+05,1,0.23952,0.725,0.082125,1
1.2011,415.65,501.52,58.799,7.1141e-18,2.4721e+05,1,0.24058,0.726,0.08249,1
1.2006,415.73,501.32,58.943,6.9951e-18,2.4742e+05,1,0.24165,0.727,0.082855,1
1.2001,415.82,501.12,59.087,6.8761e-18,2.4763e+05,1,0.24271,0.728,0.08322,1
1.1997,415.9,500.91,59.231,6.7571e-18,2.4784e+05,1,0.24378,0.729,0.083585,1
1.1992,415.99,500.71,59.375,6.638e-18,2.4805e+05,1,0.24484,0.73,0.08395,1
1.1987,416.07,500.51,59.519,6.519e-18,2.4827e+05,1,0.24591,0.731,0.084315,1
1.1982,416.16,500.31,59.663,6.4e-18,2.4848e+05,1,0.24697,0.732,0.08468,1
1.1978,416.24,500.1,59.808,6.2809e-18,2.4869e+05,1,0.24804,0.733,0.085045,1
1.1973,416.33,499.9,59.952,6.1619e-18,2.489e+05,1,0.2491,0.734,0.08541,1
1.1968,416.41,499.7,60.096,6.0429e-18,2.4911e+05,1,0.25016,0.735,0.085775,1
1.1964,416.5,499.49,60.24,5.9239e-18,2.4932e+05,1,0.25123,0.736,0.08614,1
1.1959,416.58,499.29,60.384,5.8048e-18,2.4953e+05,1,0.25229,0.737,0.086505,1
1.1954,416.67,499.09,60.528,5.6858e-18,2.4974e+05,1,0.25336,0.738,0.08687,1
1.1949,416.75,498.88,60.672,5.5668e-18,2.4996e+05,1,0.25442,0.739,0.087235,1
1.1945,416.84,498.68,60.816,5.4478e-18,2.5017e+05,1,0.25549,0.74,0.0876,1
1.194,416.92,498.48,60.961,5.3288e-18,2.5038e+05,1,0.25655,0.741,0.087965,1
1.1935,417.01,498.27,61.105,5.2097e-18,2.5059e+05,1,0.25762,0.742,0.08833,1
1.1931,417.09,498.07,61.249,5.0907e-18,2.508e+05,1,0.25868,0.743,0.088695,1
1.1926,417.18,497.87,61.393,4.9717e-18,2.5101e+05,1,0.25975,0.744,0.08906,1
1.1921,417.26,497.67,61.537,4.8527e-18,2.5122e+05,1,0.26081,0.745,0.089425,1
1.1916,417.35,497.46,61.681,4.7337e-18,2.5144e+05,1,0.26187,0.746,0.08979,1
1.1912,417.43,497.26,61.825,4.6147e-18,2.5165e+05,1,0.26294,0.747,0.090155,1
1.1907,417.52,497.06,61.969,4.4957e-18,2.5186e+05,1,0.264,0.748,0.09052,1
1.1902,417.6,496.85,62.113,4.3766e-18,2.5207e+05,1,0.26507,0.749,0.090885,1
1.1897,417.69,496.65,62.258,4.2576e-18,2.5228e+05,1,0.26613,0.75,0.09125,1
1.1893,417.77,496.45,62.402,4.1386e-18,2.5249e+05,1,0.2672,0.751,0.091615,1
1.1888,417.86,496.24,62.546,4.0196e-18,2.527e+05,1,0.26826,0.752,0.09198,1
