"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7828,329.69,647.91,51.548,2.1421e-18,1.4055e+05,1,0.17273,0.672,0.015824,1
1.783,329.66,647.95,51.704,2.243e-18,1.4051e+05,1,0.17373,0.673,0.015916,1
1.7833,329.62,647.99,51.861,2.344e-18,1.4046e+05,1,0.17473,0.674,0.016008,1
1.7835,329.59,648.03,52.018,2.4449e-18,1.4042e+05,1,0.17574,0.675,0.0161,1
1.7838,329.55,648.07,52.174,2.5459e-18,1.4038e+05,1,0.17674,0.676,0.016192,1
1.784,329.52,648.11,52.331,2.6468e-18,1.4034e+05,1,0.17775,0.677,0.016284,1
1.7842,329.48,648.15,52.487,2.7478e-18,1.4029e+05,1,0.17875,0.678,0.016376,1
1.7845,329.45,648.18,52.644,2.8487e-18,1.4025e+05,1,0.17976,0.679,0.016468,1
1.7848,329.41,648.24,52.766,2.9488e-18,1.4019e+05,1,0.18076,0.68,0.01656,1
1.7851,329.36,648.29,52.883,3.0487e-18,1.4014e+05,1,0.18176,0.681,0.016652,1
1.7854,329.32,648.35,53,3.1487e-18,1.4008e+05,1,0.18277,0.682,0.016744,1
1.7857,329.28,648.4,53.117,3.2487e-18,1.4002e+05,1,0.18377,0.683,0.016836,1
1.7859,329.24,648.46,53.235,3.3486e-18,1.3996e+05,1,0.18478,0.684,0.016928,1
1.7862,329.19,648.51,53.352,3.4486e-18,1.399e+05,1,0.18578,0.685,0.01702,1
1.7865,329.15,648.57,53.469,3.5486e-18,1.3985e+05,1,0.18679,0.686,0.017112,1
1.7868,329.11,648.62,53.587,3.6485e-18,1.3979e+05,1,0.18779,0.687,0.017204,1
1.7871,329.07,648.67,53.704,3.7485e-18,1.3973e+05,1,0.18879,0.688,0.017296,1
1.7874,329.03,648.73,53.821,3.8484e-18,1.3967e+05,1,0.1898,0.689,0.017388,1
1.7877,328.98,648.78,53.939,3.9484e-18,1.3961e+05,1,0.1908,0.69,0.01748,1
1.788,328.94,648.84,54.056,4.0483e-18,1.3956e+05,1,0.19181,0.691,0.017572,1
1.7883,328.9,648.89,54.173,4.1482e-18,1.395e+05,1,0.19281,0.692,0.017664,1
1.7886,328.86,648.95,54.29,4.2482e-18,1.3944e+05,1,0.19382,0.693,0.017756,1
1.7889,328.81,649,54.408,4.3481e-18,1.3938e+05,1,0.19482,0.694,0.017848,1
1.7892,328.77,649.07,54.49,4.1639e-18,1.3932e+05,1,0.19582,0.695,0.01794,1
1.7895,328.73,649.13,54.57,3.9709e-18,1.3925e+05,1,0.19683,0.696,0.018032,1
1.7898,328.68,649.19,54.651,3.7779e-18,1.3919e+05,1,0.19783,0.697,0.018124,1
1.7901,328.64,649.25,54.731,3.5849e-18,1.3912e+05,1,0.19884,0.698,0.018216,1
1.7904,328.59,649.32,54.812,3.392e-18,1.3906e+05,1,0.19984,0.699,0.018308,1
1.7908,328.55,649.38,54.893,3.199e-18,1.3899e+05,1,0.20084,0.7,0.0184,1
1.7911,328.5,649.44,54.973,3.0061e-18,1.3893e+05,1,0.20185,0.701,0.018492,1
1.7914,328.46,649.51,55.054,2.8132e-18,1.3886e+05,1,0.20285,0.702,0.018584,1
1.7917,328.41,649.57,55.135,2.6203e-18,1.3879e+05,1,0.20386,0.703,0.018676,1
1.792,328.37,649.63,55.215,2.4274e-18,1.3873e+05,1,0.20486,0.704,0.018768,1
1.7923,328.33,649.7,55.296,2.2345e-18,1.3866e+05,1,0.20587,0.705,0.01886,1
1.7926,328.28,649.76,55.377,2.0417e-18,1.386e+05,1,0.20687,0.706,0.018952,1
1.793,328.24,649.82,55.457,1.8488e-18,1.3853e+05,1,0.20787,0.707,0.019044,1
1.7933,328.19,649.88,55.538,1.656e-18,1.3847e+05,1,0.20888,0.708,0.019136,1
1.7936,328.15,649.95,55.617,1.4543e-18,1.384e+05,1,0.20988,0.709,0.019228,1
1.7939,328.1,650.01,55.665,1.0629e-18,1.3833e+05,1,0.21089,0.71,0.01932,1
1.7942,328.06,650.08,55.714,6.715e-19,1.3827e+05,1,0.21189,0.711,0.019412,1
1.7945,328.02,650.14,55.762,2.8015e-19,1.382e+05,1,0.2129,0.712,0.019504,1
1.7948,327.97,650.21,55.81,-1.1118e-19,1.3813e+05,1,0.2139,0.713,0.019596,1
1.7951,327.93,650.27,55.858,-5.025e-19,1.3807e+05,1,0.2149,0.714,0.019688,1
1.7954,327.89,650.34,55.906,-8.938e-19,1.38e+05,1,0.21591,0.715,0.01978,1
1.7957,327.85,650.4,55.954,-1.2851e-18,1.3793e+05,1,0.21691,0.716,0.019872,1
1.7961,327.8,650.47,56.003,-1.6764e-18,1.3787e+05,1,0.21792,0.717,0.019964,1
1.7964,327.76,650.54,56.051,-2.0676e-18,1.378e+05,1,0.21892,0.718,0.020056,1
1.7967,327.72,650.6,56.099,-2.4589e-18,1.3773e+05,1,0.21992,0.719,0.020148,1
